Date,Open,High,Low,Close,Adj Close,Volume
2018-06-14,7.352000,7.557000,7.140000,7.376000,7.376000,90300
2018-06-15,7.537000,7.973000,7.293000,7.973000,7.973000,71700
2018-06-18,8.346000,9.395000,8.029000,9.395000,9.395000,147600
2018-06-19,9.765000,10.920000,9.529000,9.729000,9.729000,137300
2018-06-20,10.461000,10.461000,9.958000,10.040000,10.040000,57500
2018-06-21,10.336000,10.659000,9.996000,10.140000,10.140000,57800
2018-06-22,9.977000,10.704000,9.370000,10.446000,10.446000,199400
2018-06-25,10.865000,12.240000,10.538000,11.217000,11.217000,193800
2018-06-26,11.617000,12.673000,11.300000,12.142000,12.142000,169100
2018-06-27,12.325000,12.605000,10.248000,11.454000,11.454000,122200
2018-06-28,11.065000,11.790000,10.000000,10.214000,10.214000,82500
2018-06-29,10.602000,11.200000,10.500000,10.876000,10.876000,42800
2018-07-02,11.990000,12.890000,11.150000,12.700000,12.700000,44500
2018-07-03,12.750000,12.750000,11.100000,11.500000,11.500000,56500
2018-07-05,11.178000,11.890000,10.102000,10.548000,10.548000,116900
2018-07-06,10.514000,11.013000,10.100000,10.742000,10.742000,34100
2018-07-09,10.850000,11.470000,10.673000,10.693000,10.693000,18600
2018-07-10,10.953000,13.975000,10.622000,10.680000,10.680000,29200
2018-07-11,10.191000,10.500000,9.894000,10.028000,10.028000,64000
2018-07-12,8.815000,10.148000,8.815000,9.120000,9.120000,80300
2018-07-13,8.613000,9.500000,8.341000,8.517000,8.517000,157700
2018-07-16,8.804000,8.804000,8.152000,8.590000,8.590000,46100
2018-07-17,9.080000,9.080000,8.353000,8.549000,8.549000,43200
2018-07-18,8.543000,10.000000,8.400000,8.626000,8.626000,35500
2018-07-19,8.519000,8.840000,8.397000,8.487000,8.487000,45000
2018-07-20,8.726000,8.860000,8.447000,8.506000,8.506000,24000
2018-07-23,8.487000,8.790000,8.285000,8.300000,8.300000,46400
2018-07-24,8.345000,8.454000,8.300000,8.335000,8.335000,21200
2018-07-25,8.444000,8.446000,8.241000,8.445000,8.445000,28100
2018-07-26,8.421000,8.432000,8.330000,8.355000,8.355000,21600
2018-07-27,8.495000,8.503000,8.210000,8.210000,8.210000,34700
2018-07-30,8.240000,8.530000,8.110000,8.258000,8.258000,28400
2018-07-31,8.343000,8.343000,7.995000,8.000000,8.000000,33900
2018-08-01,8.190000,8.265000,7.895000,8.170000,8.170000,25700
2018-08-02,8.183000,8.330000,7.823000,7.879000,7.879000,46900
2018-08-03,8.240000,8.240000,7.913000,7.943000,7.943000,21400
2018-08-06,8.040000,8.060000,7.880000,8.050000,8.050000,17800
2018-08-07,7.744000,7.910000,7.580000,7.600000,7.600000,83100
2018-08-08,7.438000,7.550000,7.157000,7.227000,7.227000,83100
2018-08-09,7.210000,7.420000,7.173000,7.392000,7.392000,31600
2018-08-10,7.455000,7.490000,7.170000,7.170000,7.170000,22300
2018-08-13,7.238000,7.390000,6.950000,6.950000,6.950000,73800
2018-08-14,7.080000,7.080000,6.442000,6.570000,6.570000,80000
2018-08-15,7.000000,7.490000,6.880000,7.389000,7.389000,69900
2018-08-16,7.447000,7.640000,7.390000,7.543000,7.543000,28100
2018-08-17,7.631000,7.655000,7.341000,7.626000,7.626000,45800
2018-08-20,7.940000,8.050000,7.740000,7.799000,7.799000,100000
2018-08-21,7.880000,8.090000,7.660000,7.849000,7.849000,127000
2018-08-22,8.057000,8.220000,7.840000,7.897000,7.897000,53700
2018-08-23,7.934000,8.123000,7.779000,7.801000,7.801000,52100
2018-08-24,7.994000,8.447000,7.984000,8.260000,8.260000,160100
2018-08-27,8.596000,9.255000,8.586000,9.090000,9.090000,294500
2018-08-28,9.048000,10.250000,8.880000,10.070000,10.070000,258900
2018-08-29,11.479000,12.000000,10.989000,11.300000,11.300000,484300
2018-08-30,11.294000,12.310000,11.000000,11.106000,11.106000,525800
2018-08-31,11.365000,12.001000,11.110000,11.635000,11.635000,247100
2018-09-04,11.999000,14.053000,11.999000,14.052000,14.052000,869800
2018-09-05,14.500000,15.090000,13.095000,14.400000,14.400000,724300
2018-09-06,14.416000,15.092000,12.577000,14.660000,14.660000,452900
2018-09-07,14.751000,15.357000,14.019000,14.890000,14.890000,359200
2018-09-10,15.488000,16.250000,14.995000,15.020000,15.020000,863100
2018-09-11,14.993000,18.002001,14.979000,17.190001,17.190001,777800
2018-09-12,17.598000,18.530001,16.061001,17.280001,17.280001,836400
2018-09-13,17.334000,18.177000,14.560000,15.600000,15.600000,1014900
2018-09-14,14.523000,17.523001,13.980000,16.642000,16.642000,709600
2018-09-17,17.295000,18.521999,17.000000,18.299999,18.299999,422000
2018-09-18,19.000000,25.031000,18.792000,23.160000,23.160000,1172900
2018-09-19,23.923000,24.760000,19.493999,22.447001,22.447001,1285700
2018-09-20,21.999001,22.577999,20.010000,21.131001,21.131001,456400
2018-09-21,19.603001,21.941000,17.983000,21.000000,21.000000,782500
2018-09-24,19.603001,20.190001,17.372999,17.510000,17.510000,649400
2018-09-25,17.523001,18.299999,15.987000,16.100000,16.100000,506100
2018-09-26,16.100000,17.690001,16.000000,17.690001,17.690001,446600
2018-09-27,17.705000,19.000000,17.698999,17.983000,17.983000,293800
2018-09-28,18.174000,19.090000,17.725000,18.216999,18.216999,204200
2018-10-01,18.900000,18.900000,17.170000,17.347000,17.347000,156900
2018-10-02,17.292999,17.559000,16.100000,16.379000,16.379000,243500
2018-10-03,16.469000,16.650000,15.940000,16.059999,16.059999,189000
2018-10-04,15.584000,16.052999,15.000000,15.560000,15.560000,235100
2018-10-05,16.341999,16.450001,15.249000,15.770000,15.770000,138000
2018-10-08,15.710000,16.000000,15.120000,15.320000,15.320000,84300
2018-10-09,15.789000,15.789000,14.257000,14.257000,14.257000,191200
2018-10-10,14.277000,15.510000,13.795000,14.780000,14.780000,288000
2018-10-11,14.786000,15.290000,14.468000,14.790000,14.790000,143800
2018-10-12,15.500000,16.396999,15.000000,15.910000,15.910000,209000
2018-10-15,16.650000,19.323000,16.420000,18.959999,18.959999,413500
2018-10-16,19.320999,19.840000,17.280001,17.867001,17.867001,343900
2018-10-17,17.372000,18.528999,15.785000,17.496000,17.496000,359300
2018-10-18,17.740000,19.000000,17.493999,18.139000,18.139000,138300
2018-10-19,18.278000,18.323000,16.000000,16.337000,16.337000,271900
2018-10-22,16.334999,17.174000,14.594000,14.600000,14.600000,340100
2018-10-23,13.990000,15.020000,12.737000,14.200000,14.200000,343700
2018-10-24,14.315000,14.750000,12.900000,13.042000,13.042000,153900
2018-10-25,13.428000,13.810000,12.950000,13.050000,13.050000,156600
2018-10-26,12.825000,13.180000,12.500000,12.810000,12.810000,141500
2018-10-29,13.240000,13.429000,10.748000,11.000000,11.000000,222600
2018-10-30,10.880000,11.437000,10.360000,10.880000,10.880000,243600
2018-10-31,11.109000,11.696000,10.880000,11.300000,11.300000,186300
2018-11-01,11.405000,12.238000,11.050000,11.861000,11.861000,171800
2018-11-02,12.169000,12.740000,11.889000,12.740000,12.740000,108400
2018-11-05,13.194000,13.977000,12.810000,13.899000,13.899000,146800
2018-11-06,13.915000,14.484000,12.797000,14.484000,14.484000,258400
2018-11-07,16.051001,16.514000,14.510000,14.978000,14.978000,299700
2018-11-08,15.095000,15.194000,13.284000,13.900000,13.900000,259600
2018-11-09,13.190000,13.740000,12.800000,12.850000,12.850000,157300
2018-11-12,12.655000,13.454000,11.687000,11.901000,11.901000,152300
2018-11-13,12.313000,12.477000,11.830000,12.061000,12.061000,181200
2018-11-14,12.070000,12.388000,10.998000,11.000000,11.000000,181000
2018-11-15,11.350000,11.836000,11.000000,11.413000,11.413000,170500
2018-11-16,11.358000,12.950000,11.281000,12.580000,12.580000,138100
2018-11-19,12.400000,12.850000,11.495000,12.355000,12.355000,154300
2018-11-20,11.800000,12.000000,10.743000,10.950000,10.950000,268200
2018-11-21,10.950000,11.958000,10.950000,11.200000,11.200000,73100
2018-11-23,11.350000,11.542000,11.030000,11.350000,11.350000,49700
2018-11-26,11.731000,11.731000,10.750000,11.052000,11.052000,128100
2018-11-27,10.750000,11.208000,10.541000,11.000000,11.000000,117600
2018-11-28,11.105000,11.390000,10.550000,11.310000,11.310000,233700
2018-11-29,11.080000,11.270000,10.300000,10.300000,10.300000,175400
2018-11-30,10.375000,10.580000,9.910000,9.970000,9.970000,201900
2018-12-03,10.075000,10.380000,9.250000,9.500000,9.500000,180400
2018-12-04,9.025000,9.520000,8.210000,8.698000,8.698000,285900
2018-12-06,8.452000,9.498000,8.300000,9.472000,9.472000,161200
2018-12-07,10.163000,10.724000,9.880000,10.000000,10.000000,184900
2018-12-10,10.283000,10.800000,9.496000,9.729000,9.729000,111500
2018-12-11,10.054000,10.236000,9.897000,9.898000,9.898000,71000
2018-12-12,10.000000,11.164000,9.800000,10.370000,10.370000,163700
2018-12-13,10.330000,10.480000,9.532000,10.103000,10.103000,83000
2018-12-14,9.696000,10.120000,9.374000,9.770000,9.770000,78700
